;justification
jAeM - 0sgJ;"jAeM keeps “more dangerous” framing & multiple bigotry accusations; 0sgJ omits them."
jAeM - rkNu;rkNu weakens NAACP’s moral argument by omitting “more dangerous” & strongest language.
jAeM - ulko;"No major difference; both preserve original framing."
jAeM - wz9Q;"wz9Q omits “more dangerous” & “pre-civil rights era”; jAeM keeps them."
ulko - 0sgJ;"ulko includes “pre-civil rights era” & “more dangerous”; 0sgJ omits them."
ulko - rkNu;"rkNu removes strongest moral elements; ulko keeps them."
ulko - wz9Q;"wz9Q omits “more dangerous”; ulko keeps it."
0sgJ - rkNu;"0sgJ slightly stronger; rkNu weakens Tea Party critique more."
0sgJ - wz9Q;"Very similar; wz9Q slightly stronger since it preserves more Tea Party vs. NAACP."
rkNu - wz9Q;wz9Q stronger than rkNu because it retains more Tea Party vs. NAACP.
