,article_code,vanilla,simple,cot,oracle,class
mpqa_39,V2oG,j3MO,T238,b7Wh,kUZI,1LKP
basil_5_fox,I2ng,rkNu,0sgJ,wz9Q,uIko,jAeM
allsides_immigration_r_5,3GuG,diEs,NY4P,hF73,pW8t,lylb
allsides_abortion_r_1,NBVN,Ma4y,UbrK,gzsY,LxD1,9KGU
allsides_race_and_racism_l_3,LNhV,qfYI,pJAO,bZK1,vELP,4dpj
basil_64_hpo,tvQl,JXPT,Z80O,DnBl,0drF,fEUq
basil_99_nyt,VAO1,3ttI,fn9m,3Ois,rhRm,dfsA
allsides_violence_in_america_r_5,AUzl,sNyX,duJf,aJvC,1peo,Bpip
allsides_immigration_c_4,7Hfi,dzCU,Ypwe,08Xk,psee,Fwjz
allsides_gun_control_and_gun_rights_c_5,nVtD,sEwm,tyNb,VMdn,Ue8B,7yTU
mpqa_26,w2ch,AbPw,NS6q,zbKx,7HEr,KyFU
basil_72_fox,APmP,3PST,hFBa,2Jvz,yIg6,3rS1
mpqa_60,ieqi,r6r6,uhB4,Ks0D,dGtg,WZaz
allsides_race_and_racism_c_4,WGal,igsI,azYM,cHTm,ESVB,F4Zy
allsides_politics_r_5,A0QO,pmHt,2P86,RCn9,K6NL,eE9O
mpqa_29,y7WF,cMEd,1Yuk,McsF,xDaK,L8GG
basil_72_nyt,RdE0,thYL,8idB,QqiX,AAWA,byfI
allsides_us_senate_l_5,5bB1,B02w,EYfI,mNtQ,XwVJ,ITJy
basil_54_hpo,eOEU,umwu,zRRO,l5ro,4d34,Gr8A
basil_15_fox,kavG,p6my,vj01,JuBN,rJvK,Ogs8
allsides_lgbt_rights_c_1,IRQd,znye,G427,3Jsh,2lc0,QzBN
allsides_coronavirus_r_4,rDiX,KIlG,lllw,6rQW,RhpU,vI8d
mpqa_42,xAkN,1zfs,I29Y,UQ2q,5uUR,YMUO
allsides_immigration_l_1,rvNy,UitI,G45g,NCXE,WGzp,qwrL
basil_88_hpo,Xhq2,PWbr,fy2Q,ERSd,EKSe,RzE6
allsides_coronavirus_c_1,Jfmp,8Djk,YWOh,9jm5,EFhX,IZ8t
allsides_us_house_c_5,StoS,50YE,3hcN,an4C,0WYt,lETG
basil_4_hpo,syNQ,BFJh,1eHD,yrsA,elPq,7Rmd
allsides_abortion_c_2,dhhl,Vs2a,ZMSO,kbVt,N2NM,gsCR
allsides_violence_in_america_l_3,T2us,GZLQ,ADUa,uvHh,6Cuq,lQel
