STEP 1:
* dubious
* reckless
* lying
* corrupts
* dangerous
* discredited
* demeaning
* denying
* lying
* absence
* empathy
* projecting
* normalcy
* dangerous
* deplored
* menace
* harm

SUMMARY:
Trump's claim to be taking a potentially dangerous drug, hydroxychloroquine, is dubious and reckless, and his press secretary's confirmation of it is meaningless. This episode highlights four key points. Firstly, Trump's words cannot be taken at face value, and his propensity for lying is well-established. Secondly, Trump corrupts those around him, inducing them to violate their professional responsibilities. Thirdly, Trump's willingness to put his own life at risk suggests he would do the same to the country. Finally, Trump's behavior is a menace to public health and safety, and his supporters who tolerate and advocate for his reelection are equally to blame for the harm that ensues. END OF SUMMARY.
