STEP 1:
* Tragic
* Sodomites
* Cause
* Concern
* Action
* Reported
* Hanged
* Executed
* Heads
* Wave
* Executions
* Human
* Rights
* Certain
* Crimes
* Immoral
* Villains
* LGBT
* Headache
* Administration
* Trying
* Walk
* Tightrope
* Anti-Semitism
* Arrest
* Journalists
* Oppression
* Women
* Rapprochement
* Regime
* Fending
* Hawks
* Congress
* Punditocracy
* Argued
* Policy
* Constructive
* Engagement
* Pursuing
* Diplomacy
* Military
* Action
* Halt
* Nuclear
* Program
* Difficult
* Cooperation
* Essential
* Managing
* Chaos
* Iraq
* Islamic
* State
* Airstrikes
* Sunni
* Militants
* Support
* Shiite
* Prime
* Minister
* Nouri
* Al-Maliki
* Disintegration
* Strategic
* Importance
* Abuse
* Conservatives
* Hawkish
* Policy
* Claim
* Topsy-Turvy
* World
* International
* Homosexuality
* Record
* Conservative
* Cause
* Liberal
* Held
* Hearing
* Human
* Rights
* Iran
* Progressives
* Hossein
* Alizadeh
* International
* Gay
* Lesbian
* Human
* Rights
* Commission
* Testified
* Hideous
* Criminalization
* Persecution
* Vocal
* Defenses
* Robert
* George
* Intellectual
* Father
* Right-Wing
* Religious
* Liberty
* Movement
* Domestically
* Zealous
* Opponent
* Equality
* Republicans
* Ileana
* Ros-Lehtinen
* Chris
* Smith
* Ed
* Royce
* Evidence
* Engagement
* Allowing
* Gays
* Marry
* Hardly
* Putting
* Death
* Criticize
* Repression
* Lesbians
* Fact
* Remains
* Persecutes
* Enamored
* Bash
* Administration
* Doing
* Dicey
* Diplomatic
* Agenda
* Phenomenon
* Invoking
* Equality
* Justification
* Foreign
* Policies
* Theorist
* Jasbir
* Puar
* Homonationalism
* Years
* Champion
* Overseas
* Serve
* Interests
* Moreover
* Americans
* Impose
* Conceptions
* Sexual
* Gender
* Identity
* Stomping
* Indigenous
* Thinking
* Perpetuating
* Myth
* Sexual
* Diversity
* Western
* Invention
* Ironically
* Demanding
* Tolerance
* Homosexuality
* Inhibit
* Forms
* Sexuality
* Gender
* Identity
* Long-Standing
* Traditions
* Non-Western
* Culture
* Expect
* Administration
* Movement
* Raise
* Hue
* Cry
* Horrifying
* Tragedy
* Make
* Worse
END OF STEP 1

SUMMARY: The tragic hanging of two sodomites in Iran presents a moral cause for concern and action for the United States. While the exact reason for their execution remains uncertain, their deaths are part of a wave of executions in Iran, with over 400 in the first half of 2014 alone. The Obama administration finds itself in a delicate situation, trying to balance its commitment to human rights with its pursuit of diplomatic engagement with Iran. Conservatives have seized on this issue, criticizing the administration for not doing enough to stand up for LGBT rights overseas. The phenomenon of invoking LGBT equality to justify foreign policies, known as "homonationalism," has been used by conservatives to further their agenda while ignoring domestic equality issues. Despite the moral outrage, practical considerations may prevent the administration and the LGBT movement from taking action on this issue, for fear of making the situation worse.
END OF SUMMARY
