STEP 1:
* suffering
* poverty
* hunger
* poor
* unrealistic
* protection
* promotion
* human
* rights
* freedoms
* development
* peace
* security
* scourges
* ills
* disease
* narcotic
* terrorism
* crime
* marginalize
* alienate
* duties
* realization
* underdevelopment
* hindered
* capacity
* deteriorating
* horrors
* terrorism
* expediency
* compromise
* vigilance
* democracy

SUMMARY:
The Third Committee of the 56th UN General Assembly emphasized that people suffering from poverty, hunger, and poor health cannot fully enjoy their human rights. The right to development and maintaining international peace and security are crucial preconditions for universal human rights protection and promotion. Representatives stressed that human rights and development are two sides of the same coin and should be addressed in tandem. They warned that globalization is threatening to marginalize the developing world, hampering the ability to exercise human rights, and deteriorating the situation for poor countries. The committee highlighted the importance of promoting and strengthening human rights and democracy in the war against terrorism. END OF SUMMARY.
